Descrição;Preços/Kg/Lt 30/04/26
NATIVO PLUS SC585 4X5L BOT BR;116,74
ADENGO IMP SC465 4X5L BOT BR;576,43
AUREO EC720 1X20L DRM BR;19,85
BELT SC480 4X5L BOT BR;376,20
CERTERO SC480 4X5L BOT BR;154,90
CONNECT SC112,5 1X20L DRM BR;40,52
CURBIX SC200 1X20L DRM BR;89,52
ETHREL SL720 4X5L BOT BR;140,43
FOX SUPRA SC360 1X20L DRM BR;367,90
FOX XPRO SC450 1X20L DRM BR;271,08
LARVIN WG80 4X5KG BAG BR;192,10
NATIVO SC300 1X20L DRM BR;84,11
OBERON SC240 4X5L BOT BR;110,56
SOBERAN SC630 4X5L BOT BR;507,53
SPHERE MAX SC535 4X5L BOT BR;245,15
VERANGO PRIME SC500 4X5L BOT BR;554,76
CERNIS FS625 4X5L BOT BR;2113,21
PROUD SC500 1X20L BOT;138,02
